InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,2.0,8,24.82,37.08,3.5,3.63,120.56,41.0,35.0,1980.0,2619.0,264.94,49.0,41.0,1980.0,2619.0
1024,350,4.0,8,21.63,34.07,3.77,4.09,122.19,43.0,37.0,1980.0,2619.0,304.37,51.0,41.0,1980.0,2619.0
1024,350,6.0,8,21.65,29.01,3.85,4.11,124.17,45.0,38.0,1980.0,2619.0,333.8,51.0,43.0,1980.0,2619.0
1024,350,8.0,8,22.23,31.3,4.06,4.28,227.18,46.0,39.0,1980.0,2619.0,345.87,52.0,43.0,1980.0,2619.0
1024,350,10.0,8,22.38,32.65,4.24,4.59,228.95,46.0,39.0,1980.0,2619.0,357.15,52.0,44.0,1980.0,2619.0
1024,350,12.0,8,23.35,36.74,4.48,5.05,232.45,47.0,39.0,1980.0,2619.0,370.19,53.0,45.0,1980.0,2619.0
1024,350,14.0,8,24.42,40.96,4.79,5.44,227.74,47.0,39.0,1980.0,2619.0,380.98,53.0,45.0,1980.0,2619.0
1024,350,16.0,8,25.54,39.76,5.13,6.0,223.33,47.0,40.0,1980.0,2619.0,392.5,53.0,45.0,1980.0,2619.0
1024,350,18.0,8,26.01,41.02,5.42,6.37,225.38,47.0,40.0,1980.0,2619.0,402.85,53.0,46.0,1980.0,2619.0
1024,350,20.0,8,27.27,44.25,5.73,6.21,227.53,47.0,40.0,1980.0,2619.0,407.73,53.0,46.0,1980.0,2619.0
1024,350,22.0,8,27.57,44.52,5.9,6.96,127.58,47.0,40.0,1980.0,2619.0,420.13,53.0,47.0,1980.0,2619.0
1024,350,24.0,8,29.36,53.02,6.27,7.22,229.4,47.0,40.0,1980.0,2619.0,440.64,53.0,47.0,1980.0,2619.0
1024,350,26.0,8,30.47,49.55,6.76,7.4,227.3,47.0,40.0,1980.0,2619.0,449.07,53.0,47.0,1980.0,2619.0
1024,350,28.0,8,32.21,59.85,7.08,8.1,223.0,47.0,40.0,1980.0,2619.0,454.18,54.0,47.0,1980.0,2619.0
1024,350,30.0,8,33.78,57.7,7.63,8.41,226.39,47.0,40.0,1980.0,2619.0,463.58,54.0,48.0,1980.0,2619.0
1024,350,32.0,8,34.54,60.87,7.87,9.01,128.29,47.0,40.0,1980.0,2619.0,469.82,54.0,48.0,1980.0,2619.0
1024,350,34.0,8,35.9,60.46,8.38,9.54,130.66,47.0,41.0,1980.0,2619.0,471.33,55.0,48.0,1980.0,2619.0
1024,350,36.0,8,39.34,66.58,8.93,10.17,128.96,47.0,41.0,1980.0,2619.0,483.67,55.0,49.0,1980.0,2619.0
1024,350,38.0,8,40.38,64.98,9.56,11.3,127.58,47.0,41.0,1980.0,2619.0,490.96,55.0,49.0,1980.0,2619.0
1024,350,40.0,8,44.18,76.43,10.16,12.18,127.25,47.0,41.0,1980.0,2619.0,488.56,55.0,50.0,1980.0,2619.0
1024,350,42.0,8,63.28,347.05,12.07,16.93,127.25,47.0,41.0,1980.0,2619.0,500.88,55.0,50.0,1980.0,2619.0
1024,350,44.0,8,63.5,352.69,12.82,16.97,127.65,48.0,41.0,1980.0,2619.0,525.62,56.0,51.0,1980.0,2619.0
1024,350,46.0,8,66.76,273.18,14.43,18.63,127.25,48.0,41.0,1980.0,2619.0,541.34,56.0,51.0,1980.0,2619.0
1024,350,48.0,8,70.66,383.79,15.36,19.38,127.31,48.0,41.0,1980.0,2619.0,550.48,56.0,51.0,1980.0,2619.0
1024,350,50.0,8,76.29,364.18,16.35,20.86,127.58,48.0,42.0,1980.0,2619.0,549.47,57.0,52.0,1980.0,2619.0
1024,350,52.0,8,76.73,377.5,17.36,23.42,127.58,48.0,42.0,1980.0,2619.0,552.51,57.0,52.0,1980.0,2619.0
1024,350,54.0,8,91.9,356.12,21.11,26.18,127.58,48.0,42.0,1980.0,2619.0,571.84,57.0,52.0,1980.0,2619.0
1024,350,56.0,8,100.15,545.68,21.16,29.42,128.29,49.0,42.0,1980.0,2619.0,582.25,58.0,53.0,1980.0,2619.0
1024,350,56.0,8,101.97,362.33,22.38,29.11,128.01,49.0,42.0,1980.0,2619.0,595.18,58.0,53.0,1980.0,2619.0
1024,350,58.0,8,104.26,412.82,23.4,30.2,345.89,51.0,46.0,1980.0,2619.0,610.45,58.0,53.0,1980.0,2619.0
1024,350,58.0,8,102.83,418.59,22.63,30.39,341.65,51.0,46.0,1980.0,2619.0,603.88,58.0,53.0,1980.0,2619.0
