InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,2.0,8,18.84,27.67,2.78,2.87,196.23,43.0,36.0,1980.0,2619.0,247.62,47.0,38.0,1980.0,2619.0
1024,350,4.0,8,17.94,33.22,2.94,3.21,200.64,44.0,37.0,1980.0,2619.0,267.12,48.0,39.0,1980.0,2619.0
1024,350,6.0,8,18.02,25.39,2.94,3.1,204.72,44.0,37.0,1980.0,2619.0,267.39,49.0,40.0,1980.0,2619.0
1024,350,8.0,8,16.97,22.04,3.04,3.21,209.03,45.0,38.0,1980.0,2619.0,279.58,49.0,40.0,1980.0,2619.0
1024,350,10.0,8,17.63,25.62,3.18,3.44,213.0,45.0,38.0,1980.0,2619.0,282.8,49.0,41.0,1980.0,2619.0
1024,350,12.0,8,17.8,28.26,3.29,3.55,219.01,45.0,38.0,1980.0,2619.0,303.5,50.0,41.0,1980.0,2619.0
1024,350,14.0,8,18.29,28.6,3.44,3.76,223.03,45.0,38.0,1980.0,2619.0,305.56,50.0,41.0,1980.0,2619.0
1024,350,16.0,8,18.59,29.71,3.61,4.18,225.59,45.0,39.0,1980.0,2619.0,314.34,50.0,42.0,1980.0,2619.0
1024,350,18.0,8,19.19,30.36,3.76,4.34,230.52,45.0,39.0,1980.0,2619.0,313.08,50.0,42.0,1980.0,2619.0
1024,350,20.0,8,19.5,30.87,3.88,4.17,235.68,45.0,39.0,1980.0,2619.0,319.52,50.0,42.0,1980.0,2619.0
1024,350,22.0,8,19.75,32.27,3.99,4.79,236.67,46.0,39.0,1980.0,2619.0,330.45,50.0,42.0,1980.0,2619.0
1024,350,24.0,8,20.29,32.12,4.23,5.0,241.38,46.0,39.0,1980.0,2619.0,334.33,50.0,43.0,1980.0,2619.0
1024,350,26.0,8,20.62,34.73,4.4,4.84,249.5,46.0,40.0,1980.0,2619.0,343.04,50.0,43.0,1980.0,2619.0
1024,350,28.0,8,21.77,35.86,4.68,5.31,251.87,46.0,40.0,1980.0,2619.0,348.2,50.0,43.0,1980.0,2619.0
1024,350,30.0,8,22.82,39.31,4.97,5.51,259.68,46.0,40.0,1980.0,2619.0,352.89,51.0,44.0,1980.0,2619.0
1024,350,32.0,8,23.22,37.99,5.13,5.98,261.77,46.0,40.0,1980.0,2619.0,363.54,51.0,44.0,1980.0,2619.0
1024,350,34.0,8,23.86,39.31,5.33,6.06,267.75,46.0,40.0,1980.0,2619.0,362.2,51.0,44.0,1980.0,2619.0
1024,350,36.0,8,24.99,40.61,5.65,6.26,271.5,47.0,41.0,1980.0,2619.0,375.45,51.0,44.0,1980.0,2619.0
1024,350,38.0,8,25.92,42.64,5.79,6.47,274.9,47.0,41.0,1980.0,2619.0,374.03,51.37,44.0,1980.0,2619.0
1024,350,40.0,8,26.61,43.66,6.03,6.71,278.32,47.0,41.0,1980.0,2619.0,373.2,52.0,45.0,1980.0,2619.0
1024,350,42.0,8,27.2,44.65,6.28,7.02,282.06,47.0,41.0,1980.0,2619.0,375.33,52.0,45.0,1980.0,2619.0
1024,350,44.0,8,28.36,46.74,6.54,7.3,287.24,47.0,41.0,1980.0,2619.0,377.12,52.0,45.0,1980.0,2619.0
1024,350,46.0,8,29.02,49.18,6.72,7.48,289.03,47.0,42.0,1980.0,2619.0,380.55,52.0,45.0,1980.0,2619.0
1024,350,48.0,8,30.74,49.08,7.19,8.31,295.74,48.0,42.0,1980.0,2619.0,391.26,52.0,46.0,1980.0,2619.0
1024,350,50.0,8,32.84,56.88,7.49,9.04,295.29,48.0,42.0,1980.0,2619.0,395.89,52.0,46.0,1980.0,2619.0
1024,350,52.0,8,33.66,56.97,7.72,9.09,298.7,48.0,42.0,1980.0,2619.0,401.47,53.0,46.0,1980.0,2619.0
1024,350,54.0,8,54.6,444.97,9.48,14.09,303.42,48.0,42.0,1980.0,2619.0,438.55,53.0,46.0,1980.0,2619.0
1024,350,54.0,8,58.56,510.0,9.88,15.01,305.54,48.0,42.0,1980.0,2619.0,440.82,53.0,46.0,1980.0,2619.0
