InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,4.0,8,58.74,85.55,12.94,14.39,64.34,41.0,41.0,1290.0,877.0,237.01,47.0,48.0,1530.0,877.0
1024,350,6.0,8,63.45,101.65,14.66,16.58,65.31,41.0,42.0,1290.0,877.0,234.44,48.0,49.0,1530.0,877.0
1024,350,8.0,8,68.94,112.18,17.84,20.71,78.83,43.0,45.0,1530.0,877.0,205.35,49.0,50.0,1530.0,877.0
1024,350,10.0,8,99.28,747.13,25.45,32.65,77.48,44.0,46.0,1530.0,877.0,212.48,50.0,51.0,1530.0,877.0
1024,350,10.0,8,74.07,123.81,24.08,29.81,88.19,45.0,46.0,1530.0,877.0,217.7,50.0,52.0,1530.0,877.0
1024,350,12.0,8,82.89,132.8,32.73,40.65,88.7,45.0,47.0,1530.0,877.0,216.7,51.0,52.0,1530.0,877.0
1024,350,14.0,8,90.15,152.58,43.37,52.69,96.63,46.0,47.0,1530.0,877.0,225.58,51.0,53.0,1530.0,877.0
1024,350,16.0,8,743.63,4249.11,53.5,63.6,103.53,46.0,48.0,1530.0,877.0,237.56,52.0,53.0,1530.0,877.0
1024,350,16.0,8,710.17,4215.25,53.97,63.89,99.18,47.0,48.0,1530.0,877.0,244.59,52.0,53.0,1530.0,877.0
