InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,4.0,8,99.28,162.35,22.28,26.76,67.81,42.0,43.0,1530.0,877.0,261.85,49.0,51.0,1530.0,877.0
1024,350,5.0,8,94.28,150.28,20.96,24.78,71.63,43.0,45.0,1530.0,877.0,259.65,51.0,53.0,1530.0,877.0
1024,350,6.0,8,102.67,168.72,26.2,31.32,130.72,47.0,48.0,1530.0,877.0,251.3,52.0,54.0,1530.0,877.0
1024,350,7.0,8,111.68,187.34,30.22,36.67,139.69,48.0,49.0,1530.0,877.0,253.99,53.0,55.0,1530.0,877.0
1024,350,8.0,8,147.5,987.58,37.55,46.03,143.2,49.0,50.0,1530.0,877.0,257.98,54.0,56.0,1530.0,877.0
1024,350,8.0,8,116.2,197.99,36.13,44.07,140.31,49.0,50.0,1530.0,877.0,260.87,54.0,56.0,1530.0,877.0
1024,350,9.0,8,123.43,208.75,44.29,51.84,141.66,49.0,51.0,1530.0,877.0,259.41,55.0,56.0,1530.0,877.0
1024,350,10.0,8,166.73,815.11,52.18,61.27,144.02,50.0,51.0,1530.0,877.0,264.08,55.0,57.0,1530.0,877.0
1024,350,10.0,8,130.3,235.67,51.65,60.49,141.85,50.0,51.0,1530.0,877.0,265.24,55.0,57.0,1530.0,877.0
1024,350,11.0,8,147.69,282.3,59.6,69.21,141.23,50.0,51.0,1530.0,877.0,265.55,55.0,57.0,1530.0,877.0
1024,350,12.0,8,144.13,268.33,64.23,72.64,144.45,51.0,52.0,1530.0,877.0,266.78,56.0,58.0,1530.0,877.0
1024,350,13.0,8,225.98,5070.53,68.5,77.77,144.7,51.0,52.0,1530.0,877.0,266.29,56.0,58.0,1530.0,877.0
1024,350,13.0,8,287.56,5783.14,71.46,81.02,139.74,51.0,52.0,1530.0,877.0,267.54,56.0,58.0,1530.0,877.0
