InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,1.0,8,173.78,358.53,22.93,23.99,68.82,48.0,33.0,1140.0,1593.0,381.75,61.0,52.0,1410.0,1593.0
1024,350,1.5,8,171.47,313.55,25.92,28.48,242.44,51.0,43.0,1410.0,1593.0,394.48,62.0,54.0,1410.0,1593.0
1024,350,2.0,8,183.72,347.8,29.68,33.38,245.95,53.0,46.0,1410.0,1593.0,399.12,63.0,56.0,1410.0,1593.0
1024,350,2.5,8,204.69,398.4,32.15,37.54,246.11,53.0,44.0,1410.0,1593.0,402.71,63.0,58.0,1410.0,1593.0
1024,350,3.0,8,261.66,644.09,34.56,41.91,247.66,53.0,44.0,1410.0,1593.0,405.47,64.0,60.0,1410.0,1593.0
1024,350,3.0,8,259.76,626.92,34.64,42.04,246.72,53.0,44.0,1410.0,1593.0,406.26,64.0,61.0,1410.0,1593.0
