InputLen,OutputLen,RequestRate,TensorParallelism,P50_TTFT,P99_TTFT,P50_TPOT,P99_TPOT,P50_POWINST,P50_MTMPTR,P50_TMPTR,P50_SMCLK,P50_MMCLK,P99_POWINST,P99_MTMPTR,P99_TMPTR,P99_SMCLK,P99_MMCLK
1024,350,4.0,8,23.3,36.53,5.06,5.26,68.55,48.0,34.0,1140.0,1593.0,202.04,54.0,41.0,1410.0,1593.0
1024,350,6.0,8,24.27,34.38,5.13,5.31,69.43,49.0,35.0,1140.0,1593.0,208.11,55.0,42.0,1410.0,1593.0
1024,350,8.0,8,24.09,35.51,5.25,5.47,139.54,50.0,38.0,1410.0,1593.0,210.09,56.0,43.0,1410.0,1593.0
1024,350,10.0,8,26.24,42.94,5.44,5.8,141.85,50.0,38.0,1410.0,1593.0,215.44,56.0,43.0,1410.0,1593.0
1024,350,12.0,8,27.6,48.03,5.65,6.01,146.14,50.0,39.0,1410.0,1593.0,225.1,56.0,44.0,1410.0,1593.0
1024,350,14.0,8,27.53,54.53,5.96,6.52,144.92,50.0,39.0,1410.0,1593.0,234.3,56.0,44.0,1410.0,1593.0
1024,350,16.0,8,29.11,52.64,6.55,7.6,140.76,50.0,38.0,1410.0,1593.0,243.86,56.0,45.0,1410.0,1593.0
1024,350,18.0,8,30.4,60.48,6.85,7.88,83.31,50.0,37.0,1410.0,1593.0,249.55,57.0,45.0,1410.0,1593.0
1024,350,20.0,8,34.49,68.85,7.33,8.14,72.5,50.0,36.0,1140.0,1593.0,254.61,57.0,46.0,1410.0,1593.0
1024,350,22.0,8,35.55,78.6,7.63,8.89,72.23,50.0,36.0,1140.0,1593.0,257.83,57.0,46.0,1410.0,1593.0
1024,350,24.0,8,39.54,92.78,8.4,9.55,73.01,50.0,37.0,1140.0,1593.0,266.03,57.0,47.0,1410.0,1593.0
1024,350,26.0,8,39.86,83.97,9.57,10.57,72.5,50.0,37.0,1140.0,1593.0,273.71,58.0,48.0,1410.0,1593.0
1024,350,28.0,8,49.85,106.94,10.3,12.09,72.5,50.0,37.0,1140.0,1593.0,282.28,58.0,49.0,1410.0,1593.0
1024,350,30.0,8,55.78,111.18,12.6,15.7,193.84,51.0,44.0,1410.0,1593.0,293.54,59.0,50.0,1410.0,1593.0
1024,350,32.0,8,73.08,313.15,14.73,19.12,192.14,51.0,43.0,1410.0,1593.0,303.57,59.0,51.0,1410.0,1593.0
1024,350,34.0,8,238.04,870.61,18.17,24.92,200.34,52.0,44.0,1410.0,1593.0,313.62,60.0,52.0,1410.0,1593.0
1024,350,34.0,8,102.05,458.04,17.88,23.74,198.6,51.0,44.0,1410.0,1593.0,316.36,60.0,52.0,1410.0,1593.0
