load,parallelization_strategy,frequency,request_type,energy
1.5,TP8,800,SM,148.39116981132076
2.0,TP8,800,SM,148.95451121076232
2.5,TP8,800,SM,149.16924444444444
3.0,TP8,800,SM,150.36793043478264
3.5,TP8,800,SM,150.14017391304347
4.0,TP8,800,SM,151.40578723404255
4.5,TP8,800,SM,152.20519008264463
5.0,TP8,800,SM,152.07570731707318
5.5,TP8,800,SM,151.16529083665338
6.0,TP8,800,SM,151.89946268656715
6.5,TP8,800,SM,152.6584117647059
7.0,TP8,800,SM,152.24116363636364
0.5,TP8,1000,SM,161.86811428571428
1.0,TP8,1000,SM,161.80493264248705
1.5,TP8,1000,SM,161.46949494949496
2.0,TP8,1000,SM,161.98116504854372
2.5,TP8,1000,SM,162.560995215311
3.0,TP8,1000,SM,162.58490140845072
3.5,TP8,1000,SM,163.3069811320755
4.0,TP8,1000,SM,163.33915596330277
4.5,TP8,1000,SM,164.64965765765766
5.0,TP8,1000,SM,164.12043438914029
5.5,TP8,1000,SM,163.8907256637168
6.0,TP8,1000,SM,164.14034854771785
6.5,TP8,1000,SM,163.69980487804878
7.0,TP8,1000,SM,164.01421513944223
0.5,TP8,1200,SM,180.39440963855424
1.0,TP8,1200,SM,181.08708695652172
1.5,TP8,1200,SM,179.40033862433862
2.0,TP8,1200,SM,178.71454545454546
2.5,TP8,1200,SM,178.7412
3.0,TP8,1200,SM,179.65293203883496
3.5,TP8,1200,SM,179.3082926829268
4.0,TP8,1200,SM,180.6438647342995
4.5,TP8,1200,SM,181.21392452830187
5.0,TP8,1200,SM,180.3963396226415
5.5,TP8,1200,SM,182.49496650717703
6.0,TP8,1200,SM,180.6298245614035
6.5,TP8,1200,SM,181.54337931034482
7.0,TP8,1200,SM,182.21661802575107
0.5,TP8,1400,SM,210.00385185185186
1.0,TP8,1400,SM,211.49224309392264
1.5,TP8,1400,SM,211.5103043478261
2.0,TP8,1400,SM,210.0687835051546
2.5,TP8,1400,SM,210.31432653061225
3.0,TP8,1400,SM,212.37877386934673
3.5,TP8,1400,SM,212.95074747474746
4.0,TP8,1400,SM,213.79223880597013
4.5,TP8,1400,SM,213.26050485436892
5.0,TP8,1400,SM,212.16662745098037
5.5,TP8,1400,SM,215.19743842364534
6.0,TP8,1400,SM,214.8831028037383
6.5,TP8,1400,SM,214.34523636363636
7.0,TP8,1400,SM,214.83942857142856
0.5,TP8,1600,SM,246.7892830188679
1.0,TP8,1600,SM,248.11845454545454
1.5,TP8,1600,SM,241.5811868131868
2.0,TP8,1600,SM,246.5831111111111
2.5,TP8,1600,SM,242.81139896373057
3.0,TP8,1600,SM,241.58917171717172
3.5,TP8,1600,SM,243.47130612244896
4.0,TP8,1600,SM,246.24831999999998
4.5,TP8,1600,SM,244.49398058252427
5.0,TP8,1600,SM,250.207797979798
5.5,TP8,1600,SM,247.98423880597016
6.0,TP8,1600,SM,248.3994258373206
6.5,TP8,1600,SM,247.98725925925925
7.0,TP8,1600,SM,245.49976255707762
0.5,TP8,1800,SM,263.59441509433964
1.0,TP8,1800,SM,265.959
1.5,TP8,1800,SM,264.20738121546964
2.0,TP8,1800,SM,265.18802139037433
2.5,TP8,1800,SM,264.7899895287958
3.0,TP8,1800,SM,264.65050256410257
3.5,TP8,1800,SM,266.4323711340206
4.0,TP8,1800,SM,266.78556000000003
4.5,TP8,1800,SM,268.50699507389163
5.0,TP8,1800,SM,268.03904950495047
5.5,TP8,1800,SM,268.60912
6.0,TP8,1800,SM,272.3636153846154
6.5,TP8,1800,SM,271.5540186915888
7.0,TP8,1800,SM,269.474495412844
0.5,TP8,1980,SM,270.4536050955414
1.0,TP8,1980,SM,267.8125057471264
1.5,TP8,1980,SM,266.84346666666664
2.0,TP8,1980,SM,264.35906382978726
2.5,TP8,1980,SM,268.95830687830687
3.0,TP8,1980,SM,268.29134020618557
3.5,TP8,1980,SM,270.70208333333335
4.0,TP8,1980,SM,270.6434747474748
4.5,TP8,1980,SM,270.6380497512438
5.0,TP8,1980,SM,269.3921584158416
5.5,TP8,1980,SM,274.71535353535353
6.0,TP8,1980,SM,273.92173076923075
6.5,TP8,1980,SM,270.9784930232558
7.0,TP8,1980,SM,274.56229629629627
0.5,TP8,800,SL,147.12013651877132
1.0,TP8,800,SL,146.89391194968553
1.5,TP8,800,SL,147.30967272727273
2.0,TP8,800,SL,147.94381714285714
2.5,TP8,800,SL,147.96647191011235
3.0,TP8,800,SL,147.47826737967915
3.5,TP8,800,SL,147.288
4.0,TP8,800,SL,147.20759697732996
4.5,TP8,800,SL,145.23173509933773
5.0,TP8,800,SL,144.9427772925764
0.5,TP8,1000,SL,160.53067704280156
1.0,TP8,1000,SL,159.3058309859155
1.5,TP8,1000,SL,160.11808873720136
2.0,TP8,1000,SL,159.8915015974441
2.5,TP8,1000,SL,159.92680000000001
3.0,TP8,1000,SL,159.41745671641792
3.5,TP8,1000,SL,159.91117159763314
4.0,TP8,1000,SL,159.01532394366197
4.5,TP8,1000,SL,157.00060913705585
5.0,TP8,1000,SL,156.7778
0.5,TP8,1200,SL,178.5407594936709
1.0,TP8,1200,SL,176.93736882129278
1.5,TP8,1200,SL,176.34633576642335
2.0,TP8,1200,SL,176.53960677966103
2.5,TP8,1200,SL,176.78271140939597
3.0,TP8,1200,SL,176.4451870967742
3.5,TP8,1200,SL,176.09032258064516
4.0,TP8,1200,SL,175.69149090909093
4.5,TP8,1200,SL,172.49993442622952
5.0,TP8,1200,SL,172.98439024390242
0.5,TP8,1400,SL,209.77522466960355
1.0,TP8,1400,SL,208.01724302788844
1.5,TP8,1400,SL,208.0112558139535
2.0,TP8,1400,SL,206.68475444839856
2.5,TP8,1400,SL,206.93187368421053
3.0,TP8,1400,SL,206.96344406779662
3.5,TP8,1400,SL,205.87041610738254
4.0,TP8,1400,SL,205.49531210191083
4.5,TP8,1400,SL,202.88081159420292
5.0,TP8,1400,SL,202.3300342857143
0.5,TP8,1600,SL,243.78010810810812
1.0,TP8,1600,SL,242.15980487804876
1.5,TP8,1600,SL,241.15320634920636
2.0,TP8,1600,SL,240.7699270072993
2.5,TP8,1600,SL,241.1054676258993
3.0,TP8,1600,SL,240.50054355400698
3.5,TP8,1600,SL,238.75543642611683
4.0,TP8,1600,SL,236.6798181818182
4.5,TP8,1600,SL,234.64713513513513
5.0,TP8,1600,SL,232.65341935483872
0.5,TP8,1800,SL,262.2689090909091
1.0,TP8,1800,SL,260.68431275720167
1.5,TP8,1800,SL,262.17121285140564
2.0,TP8,1800,SL,260.026021978022
2.5,TP8,1800,SL,260.54247619047624
3.0,TP8,1800,SL,260.40556643356643
3.5,TP8,1800,SL,259.50566089965395
4.0,TP8,1800,SL,258.31971052631576
4.5,TP8,1800,SL,255.68351515151514
5.0,TP8,1800,SL,256.07611976047906
0.5,TP8,1980,SL,265.5434074074074
1.0,TP8,1980,SL,266.4520497925311
1.5,TP8,1980,SL,265.8547044534413
2.0,TP8,1980,SL,264.1090447761194
2.5,TP8,1980,SL,266.43311355311357
3.0,TP8,1980,SL,265.3385070422535
3.5,TP8,1980,SL,264.00386013986014
4.0,TP8,1980,SL,261.97169636963696
4.5,TP8,1980,SL,259.5176441717791
5.0,TP8,1980,SL,258.9455615615616
0.5,TP8,800,MS,141.30016666666666
1.0,TP8,800,MS,147.39468292682926
1.5,TP8,800,MS,154.99734939759037
2.0,TP8,800,MS,158.16338823529412
2.5,TP8,800,MS,160.49032558139535
3.0,TP8,800,MS,163.76041142857142
3.5,TP8,800,MS,164.40323699421964
0.5,TP8,1000,MS,144.1830215827338
1.0,TP8,1000,MS,157.80949677419355
1.5,TP8,1000,MS,168.1207
2.0,TP8,1000,MS,172.78910429447853
2.5,TP8,1000,MS,174.8465628742515
3.0,TP8,1000,MS,176.2320946745562
3.5,TP8,1000,MS,177.40103529411763
0.5,TP8,1200,MS,151.982598540146
1.0,TP8,1200,MS,168.01922077922077
1.5,TP8,1200,MS,184.04300636942676
2.0,TP8,1200,MS,193.35885714285715
2.5,TP8,1200,MS,193.98770731707316
3.0,TP8,1200,MS,196.91762424242424
3.5,TP8,1200,MS,199.87723636363634
0.5,TP8,1400,MS,174.01706666666666
1.0,TP8,1400,MS,196.8393157894737
1.5,TP8,1400,MS,215.95283116883115
2.0,TP8,1400,MS,227.63815
