load,parallelization_strategy,frequency,request_type,performance
7.0,TP8,1980,SS,0.10766710996627805
7.5,TP8,1980,SS,0.12271217823028549
8.0,TP8,1980,SS,0.11423854351043715
8.5,TP8,1980,SS,0.11598199605941774
9.0,TP8,1980,SS,0.12786388397216794
0.5,TP8,800,SM,0.12605322360992433
1.0,TP8,800,SM,0.14343109130859374
1.5,TP8,800,SM,0.1476244449615478
2.0,TP8,800,SM,0.15468459129333498
2.5,TP8,800,SM,0.16920840263366696
3.0,TP8,800,SM,0.1523440837860107
3.5,TP8,800,SM,0.15881050109863282
4.0,TP8,800,SM,0.17966666698455805
4.5,TP8,800,SM,0.21849482059478742
5.0,TP8,800,SM,0.18638150215148924
5.5,TP8,800,SM,0.19145399570465088
6.0,TP8,800,SM,0.230359148979187
6.5,TP8,800,SM,0.2742412805557251
7.0,TP8,800,SM,0.24651293277740477
0.5,TP8,1000,SM,0.1046809506416321
1.0,TP8,1000,SM,0.11476335525512696
1.5,TP8,1000,SM,0.12694152832031247
2.0,TP8,1000,SM,0.1283794403076172
2.5,TP8,1000,SM,0.1296212148666382
3.0,TP8,1000,SM,0.14384369134902947
3.5,TP8,1000,SM,0.13575926780700687
4.0,TP8,1000,SM,0.1335755109786987
4.5,TP8,1000,SM,0.14129336357116692
5.0,TP8,1000,SM,0.1454813766479492
5.5,TP8,1000,SM,0.14892477273941038
6.0,TP8,1000,SM,0.17796133995056151
6.5,TP8,1000,SM,0.18830127716064454
7.0,TP8,1000,SM,0.19393253087997434
0.5,TP8,1200,SM,0.09351289510726929
1.0,TP8,1200,SM,0.1018280029296875
1.5,TP8,1200,SM,0.10672776222229001
2.0,TP8,1200,SM,0.10744099617004395
2.5,TP8,1200,SM,0.10468454837799072
3.0,TP8,1200,SM,0.11326267957687378
3.5,TP8,1200,SM,0.11300753593444825
4.0,TP8,1200,SM,0.1152880954742431
4.5,TP8,1200,SM,0.11485000133514396
5.0,TP8,1200,SM,0.12216677665710449
5.5,TP8,1200,SM,0.12209533929824828
6.0,TP8,1200,SM,0.13365287303924558
6.5,TP8,1200,SM,0.16275030374526978
7.0,TP8,1200,SM,0.16164244174957274
0.5,TP8,1400,SM,0.08993768930435181
1.0,TP8,1400,SM,0.08786172866821289
1.5,TP8,1400,SM,0.08924336433410643
2.0,TP8,1400,SM,0.09363303184509278
2.5,TP8,1400,SM,0.09320353507995606
3.0,TP8,1400,SM,0.09963701248168945
3.5,TP8,1400,SM,0.10217785835266113
4.0,TP8,1400,SM,0.10069827079772949
